tgt,src
"[214, 183, 37, 5, 5]","[62, 67, 87, 117, 111]"
"[15, 98, 206, 110, 14]","[105, 86, 64, 82, 106]"
"[80, 94, 92, 89, 85]","[78, 87, 89, 85, 101]"
"[94, 81, 85, 79, 72]","[64, 77, 98, 90, 82]"
"[18, 92, 192, 95, 9]","[102, 80, 55, 73, 96]"
"[86, 79, 82, 91, 65]","[86, 74, 83, 72, 88]"
"[223, 151, 39, 12, 1]","[51, 66, 95, 108, 106]"
"[4, 114, 226, 96, 6]","[123, 77, 54, 85, 107]"
"[8, 89, 237, 103, 5]","[104, 106, 36, 80, 116]"
"[206, 170, 48, 10, 4]","[49, 62, 99, 118, 110]"
"[84, 74, 79, 71, 95]","[83, 80, 66, 98, 76]"
"[232, 155, 46, 8, 3]","[55, 70, 92, 107, 120]"
"[7, 107, 229, 92, 7]","[135, 76, 50, 89, 92]"
"[208, 171, 43, 14, 3]","[45, 51, 115, 97, 131]"
"[197, 165, 34, 8, 4]","[56, 55, 110, 98, 89]"
"[201, 178, 39, 9, 5]","[61, 57, 91, 101, 122]"
"[10, 105, 202, 87, 8]","[101, 63, 58, 82, 108]"
"[84, 90, 91, 92, 91]","[93, 79, 91, 96, 89]"
"[18, 94, 191, 99, 15]","[88, 82, 60, 83, 104]"
"[193, 160, 43, 10, 4]","[56, 68, 92, 92, 102]"
"[96, 74, 92, 75, 90]","[90, 85, 79, 83, 90]"
"[180, 165, 47, 14, 5]","[49, 69, 104, 84, 105]"
"[197, 174, 37, 13, 5]","[51, 61, 97, 95, 122]"
"[217, 172, 34, 14, 6]","[60, 69, 107, 103, 104]"
"[89, 87, 97, 98, 78]","[97, 92, 80, 96, 84]"
"[12, 98, 193, 88, 11]","[113, 74, 48, 74, 93]"
"[84, 78, 85, 79, 76]","[76, 68, 76, 98, 84]"
"[83, 86, 91, 91, 83]","[90, 96, 81, 75, 92]"
"[15, 106, 192, 116, 8]","[99, 89, 56, 83, 110]"
"[72, 91, 83, 105, 98]","[109, 90, 94, 82, 74]"
"[87, 88, 91, 79, 80]","[80, 99, 70, 92, 84]"
"[217, 158, 44, 11, 0]","[51, 86, 93, 96, 104]"
"[98, 95, 70, 62, 90]","[63, 77, 88, 93, 94]"
"[12, 106, 210, 105, 8]","[104, 86, 57, 80, 114]"
"[85, 86, 81, 75, 91]","[81, 75, 94, 76, 92]"
"[4, 95, 227, 111, 7]","[103, 84, 50, 82, 125]"
"[230, 164, 34, 7, 4]","[42, 57, 95, 120, 125]"
"[10, 102, 208, 112, 5]","[105, 83, 59, 63, 127]"
"[77, 84, 87, 91, 89]","[71, 83, 83, 91, 100]"
"[85, 79, 89, 93, 100]","[80, 85, 87, 94, 100]"
"[78, 80, 89, 87, 83]","[86, 91, 78, 81, 81]"
"[81, 84, 91, 82, 82]","[82, 75, 76, 106, 81]"
"[91, 86, 91, 78, 90]","[86, 78, 98, 87, 87]"
"[6, 97, 191, 113, 7]","[104, 71, 61, 67, 111]"
"[217, 145, 42, 11, 2]","[46, 67, 93, 103, 108]"
"[13, 95, 207, 82, 9]","[102, 87, 43, 78, 96]"
"[209, 140, 54, 13, 6]","[55, 80, 93, 101, 93]"
"[82, 80, 87, 94, 78]","[80, 84, 76, 89, 92]"
"[202, 170, 48, 14, 2]","[54, 74, 97, 101, 110]"
"[14, 84, 214, 104, 12]","[112, 96, 44, 80, 96]"
"[7, 98, 222, 91, 5]","[93, 81, 57, 76, 116]"
"[10, 86, 236, 77, 6]","[114, 73, 44, 77, 107]"
"[97, 103, 74, 91, 85]","[91, 83, 76, 104, 96]"
"[10, 88, 238, 100, 6]","[113, 98, 53, 75, 103]"
"[232, 135, 62, 9, 4]","[50, 82, 102, 111, 97]"
"[234, 145, 42, 13, 3]","[47, 91, 96, 97, 106]"
"[80, 92, 90, 88, 81]","[82, 73, 99, 92, 85]"
"[199, 146, 52, 8, 5]","[57, 66, 102, 101, 84]"
"[233, 145, 48, 11, 3]","[61, 71, 96, 118, 94]"
"[196, 171, 39, 15, 3]","[50, 65, 113, 90, 106]"
"[81, 92, 82, 99, 90]","[86, 86, 98, 87, 87]"
"[9, 116, 226, 92, 6]","[113, 77, 58, 94, 107]"
"[210, 153, 36, 11, 1]","[52, 73, 104, 84, 98]"
"[89, 86, 91, 81, 88]","[75, 85, 96, 94, 85]"
"[205, 173, 56, 8, 7]","[65, 74, 101, 107, 102]"
"[4, 85, 210, 95, 6]","[103, 73, 46, 82, 96]"
"[188, 179, 44, 13, 5]","[62, 61, 103, 108, 95]"
"[85, 87, 82, 80, 93]","[86, 93, 78, 83, 87]"
"[95, 72, 89, 83, 72]","[88, 83, 88, 70, 82]"
"[9, 108, 214, 91, 10]","[109, 84, 48, 88, 103]"
