tgt,src
"[197, 165, 34, 8, 4]","[56, 55, 110, 98, 89]"
"[201, 178, 39, 9, 5]","[61, 57, 91, 101, 122]"
"[18, 94, 191, 99, 15]","[88, 82, 60, 83, 104]"
"[96, 74, 92, 75, 90]","[90, 85, 79, 83, 90]"
"[83, 86, 91, 91, 83]","[90, 96, 81, 75, 92]"
"[72, 91, 83, 105, 98]","[109, 90, 94, 82, 74]"
"[87, 88, 91, 79, 80]","[80, 99, 70, 92, 84]"
"[217, 158, 44, 11, 0]","[51, 86, 93, 96, 104]"
"[81, 84, 91, 82, 82]","[82, 75, 76, 106, 81]"
"[91, 86, 91, 78, 90]","[86, 78, 98, 87, 87]"
"[82, 80, 87, 94, 78]","[80, 84, 76, 89, 92]"
"[10, 86, 236, 77, 6]","[114, 73, 44, 77, 107]"
"[97, 103, 74, 91, 85]","[91, 83, 76, 104, 96]"
"[9, 116, 226, 92, 6]","[113, 77, 58, 94, 107]"
"[72, 83, 84, 85, 76]","[91, 61, 90, 78, 80]"
"[12, 93, 200, 89, 6]","[93, 80, 52, 75, 100]"
"[90, 75, 89, 79, 72]","[74, 83, 73, 84, 91]"
"[106, 73, 104, 83, 80]","[80, 93, 69, 106, 98]"
"[12, 94, 229, 100, 12]","[120, 83, 49, 86, 109]"
"[6, 111, 199, 89, 6]","[105, 75, 53, 80, 98]"
"[9, 99, 204, 108, 13]","[125, 86, 49, 63, 110]"
"[236, 143, 45, 8, 5]","[42, 74, 102, 102, 117]"
"[91, 79, 83, 80, 90]","[89, 84, 85, 81, 84]"
"[198, 175, 42, 7, 6]","[61, 51, 102, 109, 105]"
"[12, 96, 207, 104, 16]","[97, 99, 50, 92, 97]"
"[221, 144, 45, 10, 6]","[44, 74, 99, 106, 103]"
"[86, 87, 82, 87, 92]","[90, 98, 94, 90, 62]"
"[225, 155, 55, 11, 2]","[62, 85, 86, 101, 114]"
"[208, 164, 47, 12, 2]","[70, 61, 94, 105, 103]"
"[81, 90, 83, 87, 68]","[83, 68, 84, 80, 94]"
"[66, 72, 87, 86, 100]","[88, 72, 82, 84, 85]"
"[9, 112, 193, 90, 7]","[89, 80, 56, 74, 112]"
"[95, 87, 92, 77, 91]","[75, 82, 90, 94, 101]"
"[68, 83, 82, 95, 86]","[82, 79, 87, 86, 80]"
"[82, 83, 95, 77, 88]","[88, 67, 90, 95, 85]"
"[14, 85, 204, 87, 12]","[99, 79, 56, 67, 101]"
"[77, 79, 91, 74, 95]","[98, 74, 75, 85, 84]"
"[95, 81, 96, 70, 73]","[84, 86, 66, 95, 84]"
"[15, 87, 208, 107, 16]","[119, 66, 63, 90, 95]"
"[88, 80, 85, 88, 104]","[91, 98, 101, 67, 88]"
"[96, 96, 76, 86, 75]","[77, 85, 81, 92, 94]"
"[218, 134, 45, 10, 3]","[44, 68, 81, 118, 99]"
"[196, 160, 38, 8, 8]","[46, 56, 87, 111, 110]"
"[14, 101, 208, 96, 9]","[111, 81, 53, 80, 103]"
"[218, 162, 41, 8, 5]","[48, 69, 109, 112, 96]"
"[93, 89, 73, 85, 85]","[94, 82, 99, 80, 70]"
"[224, 139, 49, 11, 4]","[45, 55, 91, 115, 121]"
"[209, 175, 35, 4, 2]","[66, 55, 96, 121, 87]"
"[83, 88, 82, 90, 95]","[91, 96, 81, 87, 83]"
"[9, 103, 214, 82, 9]","[98, 94, 49, 77, 99]"
"[6, 100, 207, 95, 6]","[95, 78, 45, 94, 102]"
"[216, 160, 33, 6, 6]","[43, 72, 111, 99, 96]"
"[82, 72, 86, 88, 89]","[82, 86, 87, 82, 80]"
"[198, 169, 45, 16, 8]","[64, 69, 111, 101, 91]"
"[92, 91, 76, 73, 90]","[85, 88, 79, 81, 89]"
"[81, 73, 82, 88, 84]","[80, 88, 84, 79, 77]"
"[8, 109, 225, 87, 11]","[112, 74, 50, 86, 118]"
"[210, 167, 37, 16, 6]","[43, 69, 116, 95, 113]"
"[92, 100, 84, 86, 87]","[93, 89, 91, 88, 88]"
"[190, 144, 50, 16, 3]","[48, 60, 102, 98, 95]"
"[86, 92, 88, 79, 94]","[99, 90, 89, 84, 77]"
"[97, 88, 80, 92, 76]","[91, 76, 93, 76, 97]"
"[91, 83, 96, 84, 89]","[78, 96, 75, 97, 97]"
"[81, 78, 77, 84, 87]","[90, 81, 83, 78, 75]"
"[219, 176, 30, 7, 1]","[54, 52, 98, 109, 120]"
"[95, 91, 100, 82, 80]","[90, 97, 86, 80, 95]"
"[9, 104, 219, 86, 7]","[98, 77, 54, 84, 112]"
"[4, 92, 229, 86, 9]","[103, 80, 45, 91, 101]"
"[12, 101, 198, 119, 9]","[103, 89, 63, 79, 105]"
"[224, 158, 42, 13, 1]","[60, 62, 91, 120, 105]"
"[216, 137, 41, 7, 3]","[52, 73, 87, 102, 90]"
"[72, 92, 83, 96, 77]","[94, 68, 88, 82, 88]"
"[188, 157, 36, 15, 5]","[51, 71, 92, 103, 84]"
"[195, 159, 48, 15, 7]","[48, 70, 95, 107, 104]"
"[9, 88, 216, 79, 8]","[92, 90, 48, 77, 93]"
"[10, 88, 236, 87, 10]","[99, 109, 51, 76, 96]"
"[85, 81, 80, 77, 85]","[100, 68, 78, 88, 74]"
"[203, 184, 38, 12, 8]","[59, 67, 102, 100, 117]"
"[74, 88, 84, 108, 81]","[91, 79, 99, 84, 82]"
"[86, 90, 78, 72, 78]","[80, 73, 85, 84, 82]"
"[97, 82, 86, 92, 91]","[92, 77, 105, 94, 80]"
"[96, 91, 90, 88, 83]","[81, 77, 107, 91, 92]"
"[78, 87, 95, 91, 87]","[89, 93, 87, 85, 84]"
"[84, 77, 85, 90, 90]","[81, 94, 88, 71, 92]"
"[213, 182, 35, 6, 3]","[59, 70, 93, 104, 113]"
"[10, 97, 222, 97, 5]","[108, 75, 47, 97, 104]"
"[96, 82, 87, 74, 91]","[78, 102, 74, 83, 93]"
"[7, 99, 198, 125, 19]","[113, 81, 58, 90, 106]"
"[12, 112, 194, 103, 12]","[88, 76, 69, 86, 114]"
"[11, 93, 214, 91, 12]","[106, 90, 48, 81, 96]"
"[228, 153, 49, 14, 5]","[60, 76, 93, 106, 114]"
"[94, 93, 77, 89, 78]","[92, 78, 68, 101, 92]"
"[83, 75, 76, 94, 90]","[90, 69, 84, 91, 84]"
"[8, 99, 218, 102, 9]","[109, 81, 60, 78, 108]"
"[209, 165, 40, 14, 5]","[63, 59, 104, 110, 97]"
"[9, 105, 217, 93, 4]","[91, 82, 49, 92, 114]"
"[224, 165, 40, 10, 5]","[53, 77, 115, 96, 103]"
"[206, 142, 40, 11, 4]","[54, 80, 103, 77, 89]"
"[199, 153, 40, 9, 4]","[58, 58, 95, 104, 90]"
