tgt,src
"[222, 151, 26, 14, 1]","[48, 65, 98, 101, 102]"
"[216, 157, 40, 14, 5]","[54, 76, 94, 112, 96]"
"[8, 81, 229, 92, 11]","[96, 80, 50, 90, 105]"
"[194, 166, 33, 12, 6]","[50, 65, 81, 109, 106]"
"[84, 81, 90, 96, 86]","[82, 99, 80, 82, 94]"
"[79, 83, 84, 69, 87]","[77, 70, 81, 88, 86]"
"[219, 172, 35, 9, 2]","[58, 67, 95, 98, 119]"
"[11, 89, 229, 108, 6]","[106, 74, 48, 101, 114]"
"[221, 134, 38, 9, 2]","[49, 62, 80, 103, 110]"
"[71, 94, 90, 72, 90]","[103, 82, 60, 78, 94]"
"[191, 173, 38, 14, 2]","[61, 61, 93, 98, 105]"
"[7, 86, 228, 81, 9]","[96, 75, 43, 87, 110]"
"[173, 188, 33, 17, 6]","[64, 61, 107, 96, 89]"
"[3, 109, 207, 89, 13]","[100, 82, 53, 83, 103]"
"[73, 90, 81, 79, 78]","[86, 72, 90, 81, 72]"
"[92, 92, 76, 75, 93]","[72, 100, 78, 92, 86]"
"[79, 83, 88, 81, 69]","[88, 89, 73, 68, 82]"
"[230, 136, 37, 9, 1]","[51, 58, 95, 101, 108]"
"[10, 94, 207, 95, 11]","[93, 89, 46, 77, 112]"
"[9, 104, 207, 90, 14]","[93, 84, 58, 106, 83]"
"[202, 157, 48, 12, 3]","[52, 80, 92, 90, 108]"
"[10, 110, 198, 103, 11]","[110, 77, 53, 90, 102]"
"[201, 151, 55, 7, 7]","[52, 71, 106, 98, 94]"
"[200, 157, 34, 14, 5]","[39, 57, 101, 110, 103]"
"[13, 106, 203, 93, 8]","[110, 78, 43, 82, 110]"
"[79, 83, 82, 110, 79]","[93, 96, 78, 70, 96]"
"[87, 81, 84, 86, 77]","[84, 95, 82, 73, 81]"
"[16, 88, 200, 88, 10]","[91, 93, 50, 65, 103]"
"[85, 93, 87, 66, 76]","[81, 80, 100, 67, 79]"
"[14, 95, 222, 97, 11]","[96, 96, 54, 97, 96]"
"[6, 107, 216, 87, 7]","[92, 85, 71, 73, 102]"
"[78, 99, 81, 86, 73]","[80, 81, 79, 80, 97]"
"[15, 122, 194, 94, 12]","[90, 94, 56, 95, 102]"
"[80, 93, 90, 78, 86]","[90, 80, 85, 83, 89]"
"[185, 157, 46, 18, 6]","[52, 63, 90, 105, 102]"
"[226, 163, 41, 11, 6]","[57, 72, 85, 120, 113]"
"[5, 68, 227, 97, 5]","[88, 81, 41, 95, 97]"
"[83, 90, 89, 94, 78]","[81, 85, 85, 96, 87]"
"[75, 67, 94, 89, 77]","[84, 72, 72, 73, 101]"
"[76, 91, 93, 88, 99]","[106, 99, 75, 95, 72]"
"[215, 171, 36, 12, 3]","[52, 66, 90, 103, 126]"
"[191, 171, 34, 11, 5]","[41, 68, 94, 106, 103]"
"[5, 88, 217, 93, 8]","[116, 78, 52, 76, 89]"
"[10, 109, 210, 111, 6]","[107, 81, 60, 88, 110]"
"[14, 101, 212, 104, 6]","[108, 89, 50, 83, 107]"
"[211, 139, 43, 8, 4]","[59, 61, 94, 96, 95]"
"[90, 88, 72, 80, 75]","[80, 85, 82, 89, 69]"
"[5, 101, 197, 95, 10]","[99, 80, 49, 81, 99]"
"[182, 206, 36, 12, 6]","[66, 58, 93, 110, 115]"
"[8, 100, 201, 103, 17]","[92, 87, 67, 78, 105]"
"[8, 75, 190, 114, 17]","[108, 82, 53, 77, 84]"
"[204, 176, 48, 9, 3]","[60, 56, 89, 107, 128]"
"[12, 94, 230, 106, 8]","[95, 83, 65, 87, 120]"
"[227, 162, 46, 8, 6]","[50, 81, 103, 109, 106]"
"[6, 106, 222, 90, 10]","[106, 88, 50, 75, 115]"
"[211, 154, 48, 11, 13]","[60, 73, 103, 110, 91]"
"[79, 77, 81, 83, 88]","[82, 72, 79, 84, 91]"
"[184, 155, 57, 14, 3]","[63, 58, 86, 100, 106]"
"[84, 82, 80, 100, 68]","[98, 82, 71, 78, 85]"
"[84, 83, 69, 87, 80]","[85, 77, 93, 76, 72]"
"[10, 103, 194, 95, 8]","[99, 78, 59, 73, 101]"
"[223, 156, 27, 6, 4]","[50, 57, 92, 100, 117]"
"[13, 98, 192, 92, 11]","[101, 86, 51, 73, 95]"
"[73, 76, 96, 86, 73]","[92, 92, 75, 73, 72]"
"[75, 87, 88, 78, 84]","[87, 90, 82, 69, 84]"
"[215, 151, 39, 10, 2]","[54, 71, 103, 80, 109]"
"[208, 164, 46, 9, 2]","[58, 64, 106, 96, 105]"
"[211, 165, 53, 10, 8]","[59, 72, 105, 100, 111]"
"[88, 88, 76, 85, 92]","[83, 88, 82, 94, 82]"
"[218, 178, 34, 12, 2]","[54, 72, 100, 110, 108]"
"[98, 96, 78, 76, 88]","[82, 72, 100, 91, 91]"
"[85, 97, 75, 81, 65]","[76, 83, 72, 94, 78]"
"[87, 87, 92, 86, 92]","[87, 88, 84, 104, 81]"
"[8, 101, 205, 88, 12]","[100, 71, 55, 88, 100]"
"[9, 99, 204, 115, 14]","[116, 72, 71, 91, 91]"
"[212, 159, 45, 12, 4]","[48, 59, 98, 120, 107]"
"[86, 91, 100, 85, 83]","[76, 88, 94, 95, 92]"
"[221, 157, 46, 11, 4]","[51, 73, 97, 95, 123]"
"[92, 86, 79, 93, 71]","[78, 86, 88, 79, 90]"
"[76, 86, 90, 92, 70]","[68, 91, 94, 79, 82]"
"[92, 95, 75, 77, 84]","[92, 97, 72, 86, 76]"
"[202, 178, 34, 13, 4]","[54, 73, 95, 100, 109]"
"[12, 109, 206, 102, 12]","[114, 83, 57, 74, 113]"
"[18, 92, 192, 95, 9]","[102, 80, 55, 73, 96]"
"[227, 152, 49, 13, 2]","[58, 71, 109, 106, 99]"
"[76, 77, 99, 89, 100]","[92, 85, 93, 83, 88]"
"[207, 167, 51, 18, 1]","[53, 66, 103, 111, 111]"
"[13, 88, 201, 84, 16]","[107, 81, 58, 72, 84]"
"[96, 76, 77, 92, 98]","[80, 81, 84, 97, 97]"
"[196, 174, 42, 12, 6]","[61, 72, 85, 104, 108]"
"[9, 107, 221, 98, 8]","[116, 75, 54, 91, 107]"
"[192, 154, 51, 16, 4]","[56, 58, 99, 109, 95]"
"[8, 95, 197, 106, 16]","[91, 86, 49, 78, 118]"
"[10, 103, 215, 104, 8]","[94, 89, 50, 88, 119]"
"[218, 166, 33, 16, 5]","[62, 62, 91, 113, 110]"
"[4, 103, 188, 97, 10]","[98, 75, 53, 84, 92]"
"[15, 102, 181, 109, 16]","[110, 68, 69, 76, 100]"
"[78, 99, 75, 78, 71]","[90, 85, 70, 72, 84]"
"[5, 103, 205, 91, 9]","[84, 79, 59, 83, 108]"
"[202, 155, 36, 21, 2]","[51, 58, 85, 111, 111]"
"[62, 81, 96, 91, 80]","[90, 73, 77, 83, 87]"
